Era,Lyrics
2000s, yea mya red zone what whatits after midnight and shes on your phone sayin come over cuz shes all alone i could tell it was your ex by your tone why is she callin now after so longnow what is that she wants tell me what is that she needs did she hear about the brand new benz that you just bought for me coz yall didnt have no kids didnt share no mutual friends and you told me that she turned trick when yall broke up in ninety sixwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backtheres no need to reminisce about the past obviously coz that shit did not last i know how a woman try to game you so dont get caught up because baby youll losenow what is that she wants tell me what is that she needs did she hear about the brand new benz that you just bought for me coz yall didnt have no kids didnt share no mutual friends and you told me that she turned trick when yall broke up in ninety sixwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backtell me why she on the phone in the middle of the night tell me why she in your life trynna get whats mine she dont know me shes about to know me im in your life thats how its gon be ive seen her photo she aint even all that so if you want her back you can take her back cuz game recognize game i could do the same thing get it right change or take back this ringwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backwhatcha gonna do when you cant say no when her feelings start to show boy i really need to know and how you gonna act how you gonna handle that whatcha gonna do when she wants you backyea playboy right now yea mya yea mya red zone what what 
1990s, you know i wont forget the times we shared together holding hands and walking in the parksometimes well have to do it all again we were so happy then i have no regretscant you tell from the look on my face that i love you more todaythe first time i looked into your eyes i cried do you remember the first time we fell in loveyou looked into my eyes wiped the tears away the first time when we fell in lovealthough some time has passed i still remember just like it was yesterday but time is moving fastthe love i have for you time wont ever change ill always feel the same now until the endmemories we share will live forever deep inside my heart i know ill never forgetthe first time i looked into your eyes i cried do you remember the first time we fell in loveyou looked into my eyes wiped the tears away the first time when we fell in lovethe first time i looked into your eyes i cried do you remember the first time when we fell in loveyou looked into my eyes wiped the tears away the first time when we fell in love oh when we fell in love 
1990s, jump jump you should know you should know that ah kris kross is not having anything today as we stand there totally krossed out we commence to make youjump jump the mac dad will make you jump jump daddy mac will make you jump jump kris kross will make you jump jumpdont try to compare us to another bad little fad im the mac and im bad give you something that you never had ill make ya bump bump wiggle and shake your rump cause ill be kicking the flavor that makes you wanna jump how high real high cause im just so fly a young lovable hugable type of guy and everything is to the back with a little slack cause insideout is wiggity wiggity wiggity wack i come stompin with somethin pumpin to keep youexplain jumpin rb rappin bull crap is what im dumpin aint nothin sucker about kris kross we all that so when they ask do they rock say believe thatjump jump the mac dad will make you jump jump daddy mac will make you jump jump kris kross will make you jump jump uh huh uh huh jump jump the mac dad will make you jump jump daddy mac will make you jump jump kris kross will make you jump jumpi like my stuff knockin knockin i love it when a girl is like jockin jockin the dadouble dymac ya you know me i got you jumpin and bumpin and pumpin movin all around g in the mix i make you take a step back they try to step to the mac then they got jacked to the back youll be fortin again is that coincidental and like you know it dont be claiming that its mental two lil kids with a flow yexplainou aint ever heard and none faking you can understand every word as you listen to my cool smooth melody the daddy makes you jumpjump jump the mac dad will make you jump jump daddy mac will make you jump jump kris kross will make you jump jump uh huh uh huh jump jump the mac dad will make you jump jump daddy mac will make you jump jump kris kross will make you jump jumpnow the formalities of this and that is that kris kross aint comin off whack and for all yall suckers that dont know check it outsome of them try to rhyme but they cant rhyme like this go go some of them try to rhyme but they cant rhyme like this go go some of them try to rhyme but they cant rhyme like this go go some of them try to rhyme but they cant go go cause im the miggida miggida miggida mac daddy miggida miggida miggida mac cause im the miggida miggida miggida mac daddyi make you wannajump jump the mac dad will make you jump jump daddy mac will make you jump jump kris kross will make you jump jump uh huh uh huhjump jump the mac dad will make you jump jump daddy mac will make you jump jump kris kross will make you jump jump uh huh uh huhjump jump the mac dad will make you jump jump daddy mac will make you jump jump kris kross will make you jump jump uh huh uh huhbelieve dat 
2000s, jason derulo check that out what they playin thats my song thats my song where my drinks ive been waiting much too long much too long and this girl in my lap passing out shes a blonde the last thing on my mind is goin homefrom the window from the window to the wall to the wall this club is jumpin this club is jumpin til tomorrow til tomorrow is it daylight is it daylight or is it night time is it night time one oclock two oclock three oclock four we gon tear the club up upupupupdayo me say dayo daylight come and we dont wanna go home yeah so we losin control turn the lights low cause we about to get blown let the club shut down we wont go oh oh oh burn it down to the floor oh oh oh dayo me say dayo daylight come and we dont wanna go homewe drink the whole bottle but it aint over over everybody jumping on the sofa sofa standing on the chairs standing on the bar no matter day or night im shining bitch im a starfrom the window from the window to the wall to the wall this club is jumpin this club is jumpin til tomorrow til tomorrow is it daylight is it daylight or is it night time is it night time one oclock two oclock three oclock four we gon tear the club up upupupupdayo me say dayo daylight come and we dont wanna go home yeah so we losin control turn the lights low cause we about to get blown let the club shut down we wont go oh oh oh burn it down to the floor oh oh oh dayo me say dayo daylight come and we dont wanna go homei just met this sexy haitian girl moving like a dancer told her and her girlfriends lets sleep in my cabana ask me where the partys at baby im the answer have another drink with me shorty where your manners take another shot another shot shot shot shot i can make it hot make it hot we go rock until thedayo me say dayo daylight come and we dont wanna go home yeah so we losin control turn the lights low cause we about to get blown let the club shut down we wont go oh oh oh burn it down to the floor oh oh oh dayo me say dayo daylight come and we dont wanna go home 
2000s, all day staring at the ceiling making friends with shadows on my wall all night hearing voices telling me that i should get some sleep because tomorrow might be good for somethinghold on feeling like im headed for a breakdown and i dont know whybut im not crazy im just a little unwell i know right now you cant tell but stay awhile and maybe then youll see a different side of me im not crazy im just a little impaired i know right now you dont care but soon enough youre gonna think of me and how i used to be meim talking to myself in public dodging glances on the train and i know i know theyve all been talking about me i can hear them whisper and it makes me think there must be something wrong with me out of all the hours thinking somehow ive lost my mindbut im not crazy im just a little unwell i know right now you cant tell but stay awhile and maybe then youll see a different side of me im not crazy im just a little impaired i know right now you dont care but soon enough youre gonna think of me and how i used to beive been talking in my sleep pretty soon theyll come to get me yeah theyre taking me awaybut im not crazy im just a little unwell i know right now you cant tell but stay awhile and maybe then youll see a different side of me im not crazy im just a little impaired i know right now you dont care but soon enough youre gonna think of me and how i used to behey how i used to be how i used to be well im just a little unwell how i used to be how i used to be im just a little unwell 
2000s, lets take some calls from the request line caller number one ay man whats up this dominique from shady oaks trailer parkwhats up dominique i wanna hear that song from lil jon and petey pablo aight i got that coming right up for you now shout out the radio station that gave you what you wanteddouble u boom boom babyhow you like it daddy would you do it from the front how you like it daddy would you do it from the back how you like it daddy fyna break it down like that how you like it daddyhow you like it daddy would you do it from the front how you like it daddy can you take it from the back how you like it daddy fyna break it down like that how you like it daddy24 34 46 good and thick and once you get it shell work wit it pretty face and some cute lips earing in her tongue and she know what to do wit itmake a name for herself and she do her shit well and know how to keep her business to herself come over anytime a nigga call chick 1 oclock 2 oclock and she right there ding dongand she know why she came here and she know where her clothes suppose to be off and over there sniff a little coke take a little x smoke a little weeddrink a little bit i need a girl that i can freak wit and wanna try shit and aint scared of a big dick and love to get her pussy licked by another bitch cause i aint drunk enough to do thatfreekaleek how you like it daddy shameka keisha how you like it daddy tarafreekaleek shonda how you like it daddy sabrina crysta how you like it daddy darondafreekaleek theresa how you like it daddy felicia tenisha how you like it daddy shavonfreekaleek monica how you like it daddy monique christina how you like it daddy yolandai need to know a whole lot then to teachin a broad with my ding dong make her tongue tickin the bong go on ahead so i dont have to do that far im spoiled and i dont like to work that hardi like to lay back relax and enjoy my time and let your eyes roll back and my toes curl i love when you do that girl until it comes time for me to have to give her herstell me what you want do you want it missionary with your feet crammed into the head board do you want it from the back with your face in the pillow so you can yell it loud as you want todo you want it on the floor do you want it on the chair do you want it over here do you want it over there do you want it in ya pussy do you want it in ya ass ill give you anything you can handlefreekaleek how you like it daddy shameka keisha how you like it daddy tarafreekaleek shonda how you like it daddy sabrina crysta how you like it daddy darondafreekaleek theresa how you like it daddy felicia tenisha how you like it daddy shavonfreekaleek monica how you like it daddy monique christina how you like it daddy yolandahow you like it daddy would you do it from the front how you like it daddy would you do it from the back how you like it daddy fyna break it down like that how you like it daddyhow you like it daddy would you do it from the front how you like it daddy can you take it from the back how you like it daddy fyna break it down like that how you like it daddyyeah i appreciate it lil home boy not a problem you know i do it because i love you now i got to give a shout out to seagrim gin cause i drink it and they paying me for itfreekaleek how you like it daddy shameka keisha how you like it daddy tarafreekaleek shonda how you like it daddy sabrina crysta how you like it daddy darondafreekaleek theresa how you like it daddy felicia tenisha how you like it daddy shavonfreekaleek monica how you like it daddy monique christina how you like it daddy yolandafreekaleek how you like it daddy shameka keisha how you like it daddy tarafreekaleek shonda how you like it daddy sabrina crysta how you like it daddy darondafreekaleek theresa how you like it daddy felicia tenisha how you like it daddy shavonfreekaleek monica how you like it daddy monique christina how you like it daddy yolanda 
2000s, doesnt matter what your friends are telling you doesnt matter what my familys saying too it just matters that im in love with you it only matters that you love me tooit doesnt matter if they wont accept you im accepting of you and the things you do just as long as its you nobody but you baby babymy love for you unconditional love too gotta get up get up get up get up get up and show you that itdoesnt really matter what the eye is seeing cause im in love with the inner being and it doesnt really matter what they believe what matters to me is youre in love with medoesnt really matter what the eye is seeing cause im in love with the inner being and it doesnt really matter what they believe what matters to me is youre nuttynuttynutty for meyoure so kind just what i asked for youre so loving and kind and youre mine and i cant believe youre minedoesnt matter if youre feeling insecure doesnt matter if youre feeling so unsure cause ill take away the doubt within your heart and show that my love will never hurt or harmdoesnt matter what the pain we go through doesnt matter if the moneys gone too just as long as im with you nobody but you baby babyyoure love for me unconditional i see gotta get up get up get up get up get up and show you that itget itdoesnt really matter what the eye is seeing cause im in love with the inner being and it doesnt really matter what they believe what matters to me is youre in love with medoesnt really matter what the eye is seeing cause im in love with the inner being and it doesnt really matter what they believe what matters to me is youre nuttynuttynutty for meyoure so kind just what i asked for youre so loving and kind and youre mine and i cant believe youre minerock mix cause now im gonna love you cause my love will alwaysmy love for you unconditional love too gotta get up get up get up get up get up and show you that my love is true and its just for you uhnuttynuttynutty my love for you i cant believe my dreams come true ive finally found somebody whose heart is true and best of all youre nuttynuttynutty for mewhoa whoa whoa whoa whoa whoa whoa whoa whoanuttynuttynutty my love for you i cant believe my dreams come true ive finally found somebody whose heart is true and best of all you love me toonuttynuttynutty my love for you i cant believe my dreams come true ive finally found somebody whose heart is true and best of all youre nuttynuttynutty for me 
1980s, shadows grow so long before my eyes and theyre moving across the page suddenly the day turns into night far away from the citybut dont hesitate cause your love your love wont wait hononoooh baby i love your way every day ooh wanna tell you i love your way every day ooh wanna be with you night and dayhey yeah i love your wayif i leave here tomorrow will you still remember me for i must be traveling on now theres so many places i gotta seebut if i stayed here with you girl things just wouldnt be the same cause im as free as a bird now and this bird will never change and this bird will never changeshadows grow so long before my eyes with the help of some fireflies i wonder how they have the power to shine i can see them under the pinesbut dont hesitate cause your love wont waitooh baby i love your way ooh wanna tell you i love your way ooh baby i love your way every day now ooh wanna tell you i love your way i love your way ooh baby i love your way give me you way wanna tell you i love your way ooh baby i love your wayooh baby i love your way ooh wanna tell you i love your way ooh baby i love your way ooh wanna tell you i love your way ooh baby i love your way 
pre-1980, it was the third of june another sleepy dusty delta day i was out choppin cotton and my brother was balin hay and at dinner time we stopped and walked back to the house to eat and mama hollered out the back door yall remember to wipe your feet and then she said i got some news this mornin from choctaw ridge today billy joe macallister jumped off the tallahatchie bridgeand papa said to mama as he passed around the blackeyed peas well billy joe never had a lick of sense pass the biscuits please theres five more acres in the lower forty ive got to plow and mama said it was shame about billy joe anyhow seems like nothin ever comes to no good up on choctaw ridge and now billy joe macallisters jumped off the tallahatchie bridgeand brother said he recollected when he and tom and billie joe put a frog down my back at the carroll county picture show and wasnt i talkin to him after church last sunday night ill have another piecea apple pie you know it dont seem right i saw him at the sawmill yesterday on choctaw ridge and now ya tell me billie joes jumped off the tallahatchie bridgeand mama said to me child whats happened to your appetite ive been cookin all morning and you havent touched a single bite that nice young preacher brother taylor dropped by today said hed be pleased to have dinner on sunday oh by the way he said he saw a girl that looked a lot like you up on choctaw ridge and she and billy joe was throwing somethin off the tallahatchie bridge 
pre-1980,the look of love is in your eyes a look your smile cant disguise the look of love is saying so much more than just words could ever say and what my heart has heard well it takes my breath away i can hardly wait to hold you feel my arms around you how long i have waited waited just to love you now that i have found you dont ever go youve got the look of love its on your face a look that time cant erase be mine tonight let this be just the start of so many nights like this lets take a lovers vow and then seal it with a kiss i can hardly wait to hold you feel my arms around you how long i have waited waited just to love you now that i have found you dont ever go dont ever go i love you so i love you so i love you so
