sentence,true_label,pred_label
Are you really going to Australia next month?,eng,spa
Tom was in the center of the room.,eng,spa
Could you please call and give Tom my apologies?,eng,spa
It's already happening.,eng,spa
My name is Farshad.,eng,spa
That's outstanding.,eng,spa
Estás en mi corazón.,spa,spa
It's so great to finally meet you.,eng,spa
Éramos amigos.,spa,spa
El señor Smith le hizo algunos juguetes.,spa,spa
No permitas que Tom lo haga.,spa,spa
Sami reported Layla missing after just a few hours.,eng,spa
That Prof.'s talk is driving me up the wall.,eng,spa
¿Vivirás en Sasayama en año que viene?,spa,spa
Everybody was out to get me.,eng,spa
Tom is only pretending that he's having fun.,eng,spa
¿Podría decirme cómo se llega a la estación más cercana?,spa,spa
Seamos felices.,spa,spa
Él habló con gran entusiasmo.,spa,spa
She said she wanted to go sailing.,eng,spa
"Acepta este pequeño obsequio, por favor.",spa,eng
"Sigues enamorada de Tom, ¿verdad?",spa,spa
Tom and Mary have a lot in common.,eng,spa
Ayer fui a ver el partido de béisbol.,spa,spa
I didn't think Tom would be lonely.,eng,spa
"Las enfermedades víricas son muy difíciles de tratar, porque no existen fármacos eficaces contra virus.",spa,spa
Finish your drink.,eng,eng
Pensé que querrías ayudarme.,spa,spa
The only one who can tell us what we need to know is Tom.,eng,spa
El padre le estaba ayudando a su hijo a armar la pista en miniatura.,spa,spa
Who sent her?,eng,eng
"If you know Spanish well, you'll have no problems with looking for a job. But some with finding one.",eng,spa
I don't like popcorn.,eng,eng
Nothing beats the pleasure of mutual understanding when using a foreign language.,eng,spa
I got your address from Tom.,eng,spa
My mother gets up earlier than I do.,eng,spa
"Él, al igual que yo, es miembro del club.",spa,spa
Tom and Mary said that they wanted to do that.,eng,eng
Derogaron la legislación laboral en contubernio con las autoridades corruptas.,spa,spa
Esto es un harpa.,spa,spa
Ella tiene unos 2.000 libros.,spa,spa
"Si necesitas un préstamo, dímelo.",spa,spa
Vivo en Japón.,spa,spa
Su marido es amigo mío.,spa,spa
"¿Este computador es tuyo, no es así?",spa,spa
Siempre soy el último en saber.,spa,eng
Había bellos cuadros en aquella pared.,spa,spa
No tengo ningún problema con mi mujer.,spa,eng
Él fue suspendido porque se comportó mal.,spa,spa
Usted tomó demasiado.,spa,spa
Tom le juró a María amor eterno.,spa,spa
La suya es una respetable familia con una larga historia detrás.,spa,spa
I can smell what you're smelling.,eng,spa
Ella puso su cabeza sobre mi pecho para escuchar los latidos de mi corazón.,spa,spa
¿Estás de acuerdo en que ahora deberíamos irnos?,spa,spa
Escuché a Tom murmurándose a sí mismo mientras lavaba los platos.,spa,spa
Esperaba que me contaras todo tú mismo.,spa,spa
My girlfriend is crying.,eng,spa
How does this help any of the victims?,eng,spa
I want to be at today's meeting.,eng,spa
"Having failed several times, he succeeded at last.",eng,eng
Nunca matamos a nadie.,spa,spa
We're going to eventually find out the truth.,eng,spa
Tom quiere que me una a su grupo.,spa,spa
¿Tienes hermanos o hermanas?,spa,spa
"She is not at all a beauty, but she has an unspeakable charm.",eng,spa
Me golpeé muy fuerte la cabeza contra la pared.,spa,spa
No pienso que sea una buena idea.,spa,spa
Tom casi de desmayó del calor.,spa,eng
I had the same problems.,eng,spa
Tom doesn't want anything bad to happen.,eng,spa
Cuídate mucho por favor.,spa,eng
Cantaba mientras caminaba.,spa,spa
A veces los críticos no saben lo que critican.,spa,spa
Tom was a kid when that happened.,eng,spa
She studied Chinese in order to translate her books into this language.,eng,spa
Edison was an inventive genius of the United States.,eng,spa
Cierra el cajón.,spa,spa
"You're not really planning on going, are you?",eng,spa
Le dimos el dinero a Mary.,spa,spa
Luzco como una persona diferente.,spa,spa
"It seemed so real, but I guess it was just a crazy dream.",eng,spa
Lo confesó todo.,spa,spa
She knows that she has a problem.,eng,spa
Mary said she thinks she can take care of herself.,eng,spa
Sami said he was attacked by an octopus.,eng,spa
I want to give him a present for his birthday.,eng,spa
Ella lo perdonó por matar a su padre.,spa,spa
Dígale a la muchacha que haga las camas.,spa,spa
Lo único que quiero hacer es ir a pescar.,spa,spa
I didn't think anybody was satisfied.,eng,spa
Mary said she wouldn't be able to help weed the garden today.,eng,spa
Él vino a ayudarme.,spa,spa
Tom no quiere que compartas esta información con nadie.,spa,spa
Él siempre presta atención al comportamiento de sus hijos.,spa,spa
I haven't lost my mind.,eng,spa
No pretendo ser egoísta.,spa,spa
Embarcaré mi equipaje primero.,spa,spa
Ese chiste es mío.,spa,spa
Mary didn't help us like she said she would.,eng,spa
I think that Tom looked happy.,eng,spa
Él mintió acerca de eso.,spa,spa
El Año Nuevo se acercaba.,spa,spa
It's a crazy market.,eng,eng
El espíritu corporativo es más un triunfo que una cualidad.,spa,spa
¿Dónde compraste ese libro?,spa,spa
Tom also was very sick.,eng,eng
¿Te puedo presentar al señor Johnson?,spa,spa
¿Puedo ir a nadar esta tarde?,spa,spa
They reneged on the agreement.,eng,eng
Tom's a heavy sleeper and didn't hear the intruder smash the lounge room window.,eng,spa
Tom regresó a Australia.,spa,spa
Es inútil que digas nada.,spa,spa
Please put the milk in the refrigerator.,eng,eng
A un ángulo de 90 grados se le llama un ángulo recto.,spa,spa
Tom had other work to do.,eng,spa
Mary drove past Tom's house on her way home from work.,eng,eng
"By the time my father retires, he will have worked for almost thirty years.",eng,spa
Estoy cosechando centeno.,spa,spa
Can you spare some change?,eng,spa
Tom escuchó a Mary.,spa,spa
He went there to learn English.,eng,spa
A storm is going to batter Brittany in the coming hours.,eng,spa
No puedes quedarte aquí todo el día.,spa,spa
He doesn't really care about me.,eng,spa
Tom is lying face down on the bed.,eng,spa
Soy torpe.,spa,spa
Look up.,eng,spa
No se puede oír sonido algún en la sala de conciertos.,spa,spa
¡Quédense quietos! El bebé está durmiendo.,spa,spa
I told Tom and Mary not to do that the way they were doing it.,eng,eng
Tom put his fork down.,eng,spa
Vi un perro. El perro llevaba un trozo de carne en la boca.,spa,spa
You've made three errors.,eng,spa
Él volvió a casa tras una larga ausencia.,spa,spa
Estábamos llevando demasiada ropa.,spa,spa
Maybe Tom should tell Mary.,eng,spa
Tom was already here.,eng,spa
¿Qué está ocultando?,spa,spa
El profesor entregó los exámenes.,spa,spa
Mis ojos se humedecieron cuando la vi en su vestido de novia.,spa,spa
El comportamiento de Viernes muestra su total sumisión y devoción hacia Robinson porque el inglés le salvó de los caníbales.,spa,spa
"Como estaba nublado, no pudieron disfrutar la vista.",spa,spa
You must know Tom very well.,eng,spa
I want you to look out the window.,eng,spa
It's not a smoking device.,eng,spa
Tom may be amused by what's going on.,eng,spa
I need a good reason not to kill you.,eng,spa
How foolish I was not to discover that simple lie!,eng,eng
It's out of the question for me to leave my job.,eng,spa
Potatoes are very versatile.,eng,spa
"Puedes correr, pero no puedes ocultarte.",spa,spa
Lo necesitas.,spa,spa
Tenéis muchos amigos.,spa,spa
"Unfortunately, I don't have time today.",eng,spa
Do you mind if I use your bike?,eng,spa
Nadie la creerá.,spa,eng
The two of them carried Fadil's body.,eng,spa
My answer may surprise you.,eng,spa
We found a stream and swam a little bit.,eng,eng
"Perspecticide is often part of a strategy of coercive control that may include manipulation, stalking, and physical abuse. Abusers make their partners narrow their worlds.",eng,spa
La masa de los planetas se calcula según la ley de la atracción universal.,spa,spa
You should be more careful at a crosswalk.,eng,eng
Wine is made from grape juice.,eng,spa
Your memory is good.,eng,spa
We are traveling to France by air.,eng,eng
They aren't as old as they look.,eng,eng
The Japanese tend to identify themselves with the group they belong to.,eng,spa
He was in a hurry to see his father.,eng,eng
What's Tom doing in there?,eng,spa
I would like to mention one more thing.,eng,spa
Los boxeadores tienen que pesarse antes de una pelea.,spa,spa
Él perdió el reloj que había comprado el día anterior.,spa,eng
This town isn't large.,eng,spa
Los estudiantes hicieron el trabajo por sí mismos.,spa,spa
Nos levantamos pasada la medianoche.,spa,spa
The waiters bumped into each other.,eng,eng
"Nancy, aquí hay una carta para ti.",spa,spa
What does this word mean?,eng,spa
Do your homework now.,eng,spa
Me resultó difícil ponerlo en práctica.,spa,spa
Tom knew that I'd be on time.,eng,spa
Lots of girls like Tom.,eng,spa
Le hablo a mi gato en español.,spa,spa
Todavía no sé qué regalarles a los niños.,spa,spa
This bird can fly.,eng,spa
I think there's somebody in here.,eng,spa
Tom is still in Australia.,eng,spa
Mary and Alice are like brothers.,eng,spa
I heard Tom and Mary talking about John.,eng,spa
Es bueno para el negocio.,spa,spa
Tom es capitán del equipo de fútbol y está en el equipo de béisbol también.,spa,spa
Levanten la mano los que entendieron.,spa,spa
Mi madre cree que soy inteligente.,spa,spa
No puede asistir a clase porque está enferma.,spa,spa
No es una historia muy graciosa.,spa,spa
El planeta más cercano al Sol es Mercurio.,spa,spa
No sé si ella te gusta o no.,spa,spa
He makes fun of everybody.,eng,spa
Muchas cosas suceden acá al apagar las luces.,spa,spa
I really think I'd like to be a minister's wife when I grow up.,eng,spa
Would you like another apple?,eng,spa
"When the house is renovated and refurnished, all that he will need will be a wife to make it complete. Between ourselves, there are pretty clear signs that this will not be wanting if the lady is willing, for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour, Miss Stapleton.",eng,spa
I have never met my children.,eng,spa
Había una piedra en medio del camino.,spa,spa
Aren't you going to introduce me?,eng,spa
How many days a week do you see Tom?,eng,spa
Encontré a Tom bastante entretenido.,spa,spa
Why should I speak French?,eng,spa
Do you know of any inexpensive stores?,eng,spa
I don't have time to travel.,eng,spa
Llegó atrasado en 30 minutos.,spa,spa
Es sólo una intoxicación alimenticia.,spa,spa
"I didn't know what to say, but I called her anyway.",eng,spa
Sami was expecting Layla to do something.,eng,spa
The police detected the spy.,eng,spa
Él nunca ha jugado a golf.,spa,spa
Los autos eléctricos se están popularizando.,spa,spa
What do we do now?,eng,spa
You're trying my patience.,eng,spa
"Lo entiendo un poco, pero no puedo hablarlo.",spa,spa
I couldn't help staring at her.,eng,eng
"Levántate de una vez, sino vas a llegar tarde al colegio.",spa,spa
Gonzalez's first double fault came at the most inopportune moment when he was down a set point.,eng,eng
Tom and Mary said they'd wait and see.,eng,spa
"Dr. Patterson: ""¡En absoluto! Koko nos ha enseñado que los gorilas son lo suficientemente inteligentes como para aprender el lenguaje de signos"".",spa,spa
Las ventanas correderas ocupan menos sitio.,spa,spa
Mary told me that she was frustrated.,eng,spa
Tom bought something for Mary.,eng,spa
"No teníamos cinta aislante, así que usamos tela adhesiva.",spa,spa
Tom figured it out on his own.,eng,spa
Do you support or oppose this idea?,eng,spa
"Virtud es la suma de las cosas que no hemos hecho por flojera, cobardía o estupidez.",spa,spa
Al crecer muchas cosas dejan de fascinarnos.,spa,spa
El árbol empuja sus ramas por todas partes.,spa,spa
El ☭ es un símbolo del comunismo.,spa,spa
I thought that Tom was your younger brother.,eng,eng
"Si no te das prisa, llegarás tarde al colegio.",spa,spa
¿Creés que haya algún planeta similar a la Tierra?,spa,spa
Tom told me that he wanted to leave.,eng,spa
"I like that university, but it's too near my home.",eng,spa
¿No podrías llevarme hasta mi casa en coche?,spa,spa
Tom no le temía a la muerte.,spa,spa
Tom was sitting three tables away from us.,eng,spa
Ella cambió su comportamiento durante estos dos años.,spa,spa
Le voy a dar una mano a Tomás.,spa,spa
I informed Tom that I did that.,eng,eng
Yo ya había comido antes de llegar a la fiesta.,spa,spa
When do Tom and Mary plan to go?,eng,spa
She's getting married next month.,eng,spa
I've been waiting for you.,eng,spa
Lo haré como me has enseñado.,spa,spa
No one is going to tell Tom that he can't do that.,eng,eng
No es así como me siento.,spa,spa
Ésta es mi vieja bicicleta.,spa,spa
That was positive.,eng,spa
Ahora no sabemos qué hacer.,spa,eng
Tom es un joven.,spa,spa
It's going to be difficult for Tom to win.,eng,spa
Aprendió a ser paciente.,spa,spa
Sami practised medicine.,eng,spa
Tom tomó un bocado y después lo escupió.,spa,spa
I've gone lo-fi.,eng,spa
You know how much I appreciate your expertise.,eng,spa
¿Cuántos colores son?,spa,spa
I don't think Tom and Mary have health insurance.,eng,spa
I'm likely to feel like doing that tomorrow.,eng,spa
Tom estuvo en Boston por una semana.,spa,spa
Ella me robó.,spa,spa
El hotel se incendió.,spa,spa
Tom is supposed to know how to do that.,eng,eng
Aquí tengo el mapa.,spa,spa
¿Quién escribió esto?,spa,spa
Tom and Mary told me that they want to win.,eng,spa
You should consider studying French.,eng,spa
Lo que tenemos es suficiente.,spa,spa
Tom said he thought you wouldn't do that.,eng,eng
Sami and Layla have started to drift apart.,eng,eng
I knew you looked familiar.,eng,spa
Deja que Tom lo cargue.,spa,spa
"Los ojos pueden volverse selectivos, ignorando parte de lo que hay, y el cerebro a veces insiste en ver cosas que no existen en absoluto.",spa,spa
She is fond of painting a picture.,eng,spa
The northernmost part of the city is a maze of alleys.,eng,spa
I'll rinse your mouth out with soap!,eng,eng
Tom sabe pelear.,spa,eng
I was afraid that I might not be able to do it correctly.,eng,spa
Everyone worked according to one's capacity.,eng,spa
Do you actually go to dancing class?,eng,spa
I intend to study abroad next year.,eng,spa
No tiene ganas.,spa,spa
Ella había nacido en el Toboso.,spa,spa
"Por alguna de esas casualidades, ¿tiene una aspirina?",spa,spa
Debo pagar mis deudas.,spa,spa
Lo hicimos de acuerdo a sus instrucciones.,spa,spa
"Tom and Mary are very dedicated, aren't they?",eng,spa
Indonesia consists of many islands and two peninsulas.,eng,spa
Everybody except Tom knew that he didn't have to stay in Boston.,eng,spa
Sami made Layla an offer too good to refuse.,eng,spa
Sami spent the obly money he got on pizza.,eng,spa
Miles de personas fueron a la playa a ver al delfín.,spa,spa
Tomás nunca trabaja los domingos.,spa,spa
Mi hermana se tatuó una estrella en el pie izquierdo.,spa,spa
¿A qué hora te sueles despertar?,spa,eng
Have you told him what to buy?,eng,spa
No he leído todos los libros.,spa,spa
"Además, era un momento mágico de simbiosis total.",spa,spa
Tom and Mary told me that they don't know what that is.,eng,spa
Es una pena que haya muerto tan joven.,spa,spa
No entiendo el furor por el fútbol.,spa,spa
Empleo cincuenta minutos en almorzar.,spa,spa
La obra me salió hasta barata. Yo creía que iba a tener que gastarme mucho más.,spa,spa
"The King's son, who was told that a great princess, whom nobody knew, had come, ran out to receive her.",eng,eng
Would you please close that window?,eng,spa
Él recogió un pañuelo del suelo.,spa,spa
Anteayer le envié un e-mail a Tom pero no he recibido respuesta hasta ahora.,spa,spa
It's the easiest thing to remember.,eng,eng
Let me tell you why I did that.,eng,eng
How did you become blind?,eng,spa
Tom and Mary said they didn't want to talk about school.,eng,spa
I work as Mr. Eliot's assistant.,eng,eng
Viajaba en un coche.,spa,spa
Mary drank a whole bottle of wine by herself.,eng,spa
¿Cuántos kebabs vas a tomar?,spa,spa
No hay ninguna razón para perder la calma.,spa,spa
Your room is big.,eng,spa
It becomes a vicious circle.,eng,spa
Me disfracé de policía.,spa,spa
I'm hoping to finish in the top ten.,eng,spa
That isn't what I said.,eng,spa
Have you already eaten something?,eng,spa
I didn't tell Tom I grew up in Australia.,eng,spa
She will get over the shock soon.,eng,spa
They want us to follow them.,eng,spa
Solo quiero ir a dormir.,spa,eng
Jet Li es una estrella de cine chino.,spa,spa
Debí agradecerte.,spa,spa
I wish we had a candle or something.,eng,spa
About how many hours does it take to get from here to Boston?,eng,spa
What was Tom working on?,eng,spa
I know what those are used for.,eng,eng
No quiero cambiar.,spa,spa
Sami heard Layla banging on the door.,eng,eng
Tom and Mary are trying their best.,eng,eng
Ha cogido un catarro horrible.,spa,spa
I doubt that Tom would do that.,eng,eng
¿Te has reunido ya con ella?,spa,spa
Hay demasiados anuncios publicitarios en YouTube.,spa,spa
Won't Tom ever come back?,eng,eng
Were you to know the fact you would be surprised.,eng,spa
Ya casi he terminado el informe.,spa,spa
Where will you be tomorrow?,eng,spa
Parece que la convivencia no nos sirvió de nada.,spa,spa
Tom told me he spoke French.,eng,spa
La suma de dos más tres más cuatro es nueve.,spa,spa
He'll freeze to death out here.,eng,spa
Me reí a carcajadas cuando vi aquello.,spa,spa
Tom and Mary are almost done.,eng,spa
We're sick of your complaining.,eng,spa
Do you think Mary wears smart clothes?,eng,spa
Me pregunto dónde está Tomás.,spa,spa
Él le indicó el camino.,spa,spa
He moved the table aside.,eng,spa
I plan to throw all of this away. You may take whatever you like.,eng,spa
Lo que has dicho no tiene ni pies ni cabeza.,spa,spa
Japan tried to revive itself.,eng,spa
They probably don't know.,eng,spa
Le dio algo de dinero.,spa,spa
I'm getting a little drunk.,eng,eng
I need to buy a new pair of shoes.,eng,spa
¿Qué es eso que está ahí?,spa,spa
Estos vasos son guays.,spa,spa
Sami was at the scene of the murder.,eng,eng
Mary said she didn't feel like eating.,eng,spa
"¡Qué desastre, se te cae todo! ¡Tienes unas manos de mantequilla!",spa,spa
Peleo casi todos los días.,spa,spa
It might be a good idea to get some sleep.,eng,spa
Quiero unirme a ti.,spa,spa
The flowers in the vase are roses.,eng,spa
I would never eat anything that Tom makes.,eng,spa
I'll phone you.,eng,spa
We have high expectations.,eng,spa
"If the people knew by what small men they are ruled, they would soon rebel.",eng,spa
EEUU es rico en petróleo.,spa,spa
¿Por qué los lobos aúllan?,spa,spa
"No matter what Tom wears, he always looks great.",eng,eng
"Todos estamos en la cuneta, pero algunos estamos mirando a las estrellas.",spa,spa
Dile que salí a quienquiera que llame ahora.,spa,spa
¿Sabes qué quiero decir?,spa,eng
Do you know where the hospital is?,eng,spa
Tom drank a glass of milk.,eng,eng
Probamos la comida que había preparado Mary.,spa,spa
Tom and Mary are back home.,eng,spa
Vivo a un lado del mar así que seguido voy a la playa.,spa,spa
He always takes his time in everything that he does.,eng,spa
It can't get worse.,eng,spa
I have learned to work with Tom.,eng,spa
I think Tom won't be worried.,eng,spa
"La próxima vez que te hagas el arrogante en mi casa, te saco afuera a las patadas sin miramientos.",spa,spa
Hoy tengo que bailar contigo.,spa,spa
La belleza es ese misterio hermoso que no descifran ni la psicología ni la retórica.,spa,spa
Siempre llega a tiempo a una cita.,spa,spa
"No, no tengo periódico.",spa,spa
I know that Tom will like doing that by himself.,eng,spa
El borracho del pueblo siempre la está armando.,spa,spa
"El proyecto, financiado por el Gobierno americano, costó alrededor de $4 millones.",spa,spa
Tom and Mary felt they didn't have a choice.,eng,spa
Hablemos en inglés.,spa,spa
This novel has been published in French as well.,eng,spa
Él discutía con su hijo respecto al problema.,spa,spa
Sami wasn't rich back then.,eng,spa
She is leaving for the United States tonight.,eng,eng
I thought that Tom might stop by this afternoon.,eng,spa
Sami's test was super easy.,eng,spa
No one correctly predicted the repercussions of these policies.,eng,spa
Get ready for bed.,eng,spa
La calle está pavimentada.,spa,spa
Tom se pasó toda la noche buscando en la Web fotos de gente famosa.,spa,spa
La situación política ha cambiado.,spa,spa
Los niños hacen muchas estupideces.,spa,spa
Atrapé el balón con una mano.,spa,spa
Odia viajar en avión.,spa,spa
Mi nombre es Duŝana.,spa,spa
Sami listens to Christian music.,eng,spa
Ella fue arrestada por la policía.,spa,spa
Mañana no hay clases.,spa,spa
Me encantaría saber cómo pasó.,spa,spa
¡No te rindas!,spa,eng
Por favor vuélvete y fíjate en mí.,spa,spa
They say that they like marigolds.,eng,spa
It was very nice meeting you.,eng,spa
They adore him.,eng,spa
Intenté protegerte.,spa,spa
Do you know her personally?,eng,spa
Creo que todos sabemos las reglas.,spa,spa
Estoy tan feliz por ustedes dos.,spa,spa
I don't need a shoeshine.,eng,spa
You should phone your mother as soon as you can.,eng,spa
I used to swim every day when I was a child.,eng,spa
Florence was damaged during World War II.,eng,spa
Sami processed the payment.,eng,eng
I hope you will be quite well again before long.,eng,spa
Acabo de comer sushi y beber cerveza.,spa,spa
"You're not going to wear that, are you?",eng,spa
Women are often objectified and treated like property.,eng,spa
Mary said she thought she knew what had caused the accident.,eng,eng
Preferiría no hacerlo.,spa,spa
Tom doesn't have a driver's license.,eng,spa
Tom and Mary told me they're pessimistic.,eng,spa
They are going to get married in the town hall.,eng,spa
Terrace farming is widely practiced in the mountainous regions of China.,eng,spa
Ella me dio un buen consejo.,spa,spa
Tom and Mary thought they could do that if they had some help.,eng,spa
I have a grandson in Boston.,eng,spa
I went as far as Kyoto by train.,eng,spa
I'd like to try something new.,eng,spa
Tom will probably be doing that early tomorrow morning.,eng,spa
Veré si él está adentro.,spa,spa
Cayeron dos bombas en la ciudad.,spa,spa
"At least four were killed in the explosion of a car bomb outside a police station in the capital, Nairobi.",eng,spa
Tom knew he might be allowed to do that by himself.,eng,spa
I don't think that Tom knows where Mary went to school.,eng,spa
He knows precisely what he's doing.,eng,spa
I took advantage of every opportunity to improve my English.,eng,spa
Lo siento. Eso es todo lo que realmente recuerdo.,spa,spa
Tom was fairly nervous.,eng,spa
Me pregunto si vendrá mañana.,spa,spa
Hay sangre en el agua.,spa,spa
Sé lo que ella ha dicho.,spa,spa
Tom looked as if he were ready to cry.,eng,spa
Tom denies using any such tactics.,eng,spa
Mis padres están en Australia.,spa,spa
Lo que ella me dijo ayer fue una mentira inocente.,spa,spa
No quedaron para nuestro país sino lamentos y miserias.,spa,spa
Tom is supposed to be here in thirty minutes.,eng,spa
Sami knows Layla is angry with him.,eng,spa
Los nudistan consideran al nudismo como algo normal.,spa,spa
No quiero cuidar a un perro.,spa,spa
They thanked God.,eng,spa
There is a crate under the table.,eng,spa
No hay cura para las pesadillas.,spa,spa
Tom said he didn't want to argue about this anymore.,eng,spa
